"Function","test_id","bias","variance","mse"
"func_poly_deg2",57,0.0518296248161412,0.00971404595190086,0.0124003559604828
"func_poly_deg2",58,-0.275501028728692,0.0948411510591737,0.170741967889741
"func_poly_deg2",59,-0.0058668996127394,0.016726412450832,0.016760832961898
"func_poly_deg2",60,0.0617567921268127,0.00804248141361357,0.0118563827874079
"func_poly_deg2",61,-0.00398632919533543,0.0219918792633519,0.0220077700838055
"func_poly_deg2",62,-0.258421751420261,0.34477468827834,0.411556489885455
"func_poly_deg2",63,0.0135113675164626,0.0253545158271212,0.0255370728792861
"func_poly_deg2",64,-0.667265460428056,0.597620232806208,1.04286342748647
"func_poly_deg2",65,-0.00951612200078983,0.0512537031423368,0.0513442597202707
"func_poly_deg2",66,-0.221286660255177,0.170073561124461,0.219041347131351
"func_poly_deg2",67,-0.0296039234433363,0.130946141662157,0.131822533945396
"func_poly_deg2",68,0.00750004391315207,0.0134023521754554,0.0134586028341546
"func_poly_deg2",69,0.0470923606880164,0.00612617060257669,0.00834386103774693
"func_poly_deg2",70,-0.141442507303521,0.55130800506324,0.571313987935546
"func_poly_deg2",71,-0.0706485385348077,0.0934956442668606,0.0984868602639648
"func_poly_deg2",72,-0.0690847189225361,0.100810810799027,0.105583509187633
"func_poly_deg2",73,-0.0716790270265225,0.0286927066639836,0.0338305895794526
"func_poly_deg2",74,-0.0413287552179843,0.0153337709203148,0.0170418369281829
"func_poly_deg2",75,-0.149847384452233,0.194554034782527,0.217008273409703
"func_poly_deg2",76,-0.059620777405335,0.0324893230671882,0.0360439601656046
"func_poly_deg2",77,-0.0130675082503752,0.0106227735287336,0.0107935333006072
"func_poly_deg2",78,0.0100540025106431,0.0465184091874626,0.0466194921539466
"func_poly_deg2",79,0.00913647389247318,0.0195292650029846,0.0196127401581725
"func_poly_deg2",80,0.0352604480913965,0.0071945453286784,0.00843784452828446
"func_poly_deg2",81,0.0478922966641996,0.0138189321950261,0.0161126042747978
"func_poly_deg2",82,-0.0778153555840932,0.0349162219388331,0.040971451503512
"func_poly_deg2",83,0.0528240881190818,0.00746811101608236,0.0102584953016949
"func_poly_deg2",84,-0.36220923085603,0.214131011751772,0.345326538669089
"func_poly_deg2",85,0.0661585703507944,0.0139991741986234,0.0183761306294844
"func_poly_deg2",86,-0.0364211593800953,0.140720500643989,0.142047001494579
"func_poly_deg2",87,-0.00651355749740073,0.0152210656382257,0.0152634920694977
"func_poly_deg2",88,-0.205953745186085,0.261520937852928,0.303937883009103
"func_poly_deg2",89,-0.297145767307296,0.310265673876303,0.398561280904945
"func_poly_deg2",90,-0.121627063276724,0.0771089338333331,0.0919020763546532
"func_poly_deg2",91,-0.210001300552059,0.194478614279115,0.238579160512671
"func_poly_deg2",92,-0.105975335512,0.0692379154598667,0.0804686871967477
"func_poly_deg2",93,-0.132155952559511,0.0603453140887529,0.0778105098856647
"func_poly_deg2",94,-0.242845833213799,0.209617501335168,0.268591600044472
"func_poly_deg2",95,-0.101386317608153,0.0452142206766617,0.0554934060748031
"func_poly_deg2",96,-0.13630900991005,0.0671989917538653,0.0857791379365233
"func_poly_deg2",97,-0.073840592101076,0.0856770659947844,0.0911294990366219
"func_poly_deg2",98,-0.171982642902326,0.061686334306925,0.091264363766594
"func_poly_deg2",99,0.0442223664109662,0.0238793495803765,0.0258349672713623
"func_poly_deg2",100,-0.221016687757282,0.103596931317482,0.152445307584682
"func_poly_deg3",1,0.010068597469162,0.0904058484992551,0.0905072251542512
"func_poly_deg3",2,-1.15206322368143,1.57944336992892,2.90669304128816
"func_poly_deg3",3,-0.190568226620629,0.271009224887314,0.307325473884645
"func_poly_deg3",4,0.127912754943982,0.223298190406532,0.239659863283891
"func_poly_deg3",5,0.170572618663379,0.419895024124135,0.448990042361818
"func_poly_deg3",6,-0.213730888090905,1.48566110097841,1.53134199350254
"func_poly_deg3",7,-0.145230270150353,1.12242707426988,1.14351890563782
"func_poly_deg3",8,0.414270268991782,0.0380719121828503,0.209691767953374
"func_poly_deg3",9,0.134649346377288,0.408402463900345,0.426532910380176
"func_poly_deg3",10,0.0207302435697481,0.591440644350153,0.591870387348614
"func_poly_deg3",11,-0.0129280678160993,0.710019213607283,0.710186348544741
"func_poly_deg3",12,-0.49844961034121,1.57189701745091,1.82034903150021
"func_poly_deg3",13,0.17037549872445,0.169164299101203,0.198192109666808
"func_poly_deg3",14,-0.700597852325291,3.68081886551476,4.17165621619757
"func_poly_deg3",15,-0.0719478681539905,0.588924443240647,0.594100938972551
"func_poly_deg3",16,-0.213600697631237,0.551992382080382,0.597617640108933
"func_poly_deg3",17,0.118299237604335,0.089703857770773,0.10369856738854
"func_poly_deg3",18,0.220762906338043,0.047653001560856,0.0963892623756757
"func_poly_deg3",19,-0.912380684747496,2.33651285929589,3.1689513731962
"func_poly_deg3",20,0.183492446868858,0.129094186214801,0.162763664272722
"func_poly_deg3",21,-0.829852730342758,1.15445569008915,1.84311124414648
"func_poly_deg3",22,-0.0502465099463765,0.210847736435292,0.213372448197084
