"Function","Noise","N_Train","N_Tree","Normal_Pct_Finite"
"func_and_p100","normal",150,100,9.5
"func_and_p100","normal",150,150,13.5
"func_and_p100","normal",150,200,18
"func_and_p100","normal",200,20,9.5
"func_and_p100","normal",200,50,6.5
"func_and_p100","normal",200,100,4
"func_and_p100","normal",200,150,3
"func_and_p100","normal",200,200,4.5
"func_and_p100","t",25,20,4.5
"func_and_p100","t",25,50,13
"func_and_p100","t",25,100,12
"func_and_p100","t",25,150,13
"func_and_p100","t",25,200,13
"func_and_p100","t",50,20,10.5
"func_and_p100","t",50,50,16
"func_and_p100","t",50,100,14
"func_and_p100","t",50,150,19.5
"func_and_p100","t",50,200,14.5
"func_and_p100","t",100,20,22.5
"func_and_p100","t",100,50,21
"func_and_p100","t",100,100,21
"func_and_p100","t",100,150,19.5
"func_and_p100","t",100,200,17
"func_and_p100","t",150,20,21.5
"func_and_p100","t",150,50,22.5
"func_and_p100","t",150,100,17
"func_and_p100","t",150,150,22
"func_and_p100","t",150,200,21.5
"func_and_p100","t",200,20,18
"func_and_p100","t",200,50,12
"func_and_p100","t",200,100,8.5
"func_and_p100","t",200,150,7.5
"func_and_p100","t",200,200,4.5
"func_and_p500","normal",25,20,1
"func_and_p500","normal",25,50,5
"func_and_p500","normal",25,100,10.5
"func_and_p500","normal",25,150,15.5
"func_and_p500","normal",25,200,16.5
"func_and_p500","normal",50,20,8
"func_and_p500","normal",50,50,26
"func_and_p500","normal",50,100,37.5
"func_and_p500","normal",50,150,50.5
"func_and_p500","normal",50,200,49.5
"func_and_p500","normal",100,20,6
"func_and_p500","normal",100,50,24.5
"func_and_p500","normal",100,100,37
"func_and_p500","normal",100,150,33.5
"func_and_p500","normal",100,200,44
"func_and_p500","normal",150,20,7
"func_and_p500","normal",150,50,13.5
"func_and_p500","normal",150,100,19
"func_and_p500","normal",150,150,19
"func_and_p500","normal",150,200,13.5
"func_and_p500","normal",200,20,21
"func_and_p500","normal",200,50,29.5
"func_and_p500","normal",200,100,20.5
"func_and_p500","normal",200,150,33
"func_and_p500","normal",200,200,17.5
"func_and_p500","t",25,20,10.5
"func_and_p500","t",25,50,22
"func_and_p500","t",25,100,35
"func_and_p500","t",25,150,40.5
"func_and_p500","t",25,200,48
"func_and_p500","t",50,20,13.5
"func_and_p500","t",50,50,34.5
"func_and_p500","t",50,100,41.5
"func_and_p500","t",50,150,42
"func_and_p500","t",50,200,48
"func_and_p500","t",100,20,19
"func_and_p500","t",100,50,24.5
"func_and_p500","t",100,100,28
"func_and_p500","t",100,150,35.5
"func_and_p500","t",100,200,35.5
"func_and_p500","t",150,20,21.5
"func_and_p500","t",150,50,28
"func_and_p500","t",150,100,26.5
"func_and_p500","t",150,150,21.5
"func_and_p500","t",150,200,25
"func_and_p500","t",200,20,25.5
"func_and_p500","t",200,50,33
"func_and_p500","t",200,100,25.5
"func_and_p500","t",200,150,23.5
"func_and_p500","t",200,200,29.5
"func_poly_deg1_p2","normal",25,20,90.5
"func_poly_deg1_p2","normal",25,50,90
"func_poly_deg1_p2","normal",25,100,93.5
"func_poly_deg1_p2","normal",25,150,89.5
"func_poly_deg1_p2","normal",25,200,89.5
"func_poly_deg1_p2","normal",50,20,90.5
"func_poly_deg1_p2","normal",50,50,92
"func_poly_deg1_p2","normal",50,100,92
"func_poly_deg1_p2","normal",50,150,90
"func_poly_deg1_p2","normal",50,200,87
"func_poly_deg1_p2","normal",100,20,91.5
"func_poly_deg1_p2","normal",100,50,92.5
"func_poly_deg1_p2","normal",100,100,93.5
"func_poly_deg1_p2","normal",100,150,90.5
"func_poly_deg1_p2","normal",100,200,94.5
"func_poly_deg1_p2","normal",150,20,92
"func_poly_deg1_p2","normal",150,50,92
"func_poly_deg1_p2","normal",150,100,91.5
"func_poly_deg1_p2","normal",150,150,91.5
"func_poly_deg1_p2","normal",150,200,96.5
"func_poly_deg1_p2","normal",200,20,92
"func_poly_deg1_p2","normal",200,50,85.5
"func_poly_deg1_p2","normal",200,100,89
"func_poly_deg1_p2","normal",200,150,95.5
"func_poly_deg1_p2","normal",200,200,89.5
"func_poly_deg1_p2","t",25,20,2.5
"func_poly_deg1_p2","t",25,50,3.5
"func_poly_deg1_p2","t",25,100,4
"func_poly_deg1_p2","t",25,150,4
"func_poly_deg1_p2","t",25,200,5
"func_poly_deg1_p2","t",50,20,0.5
"func_poly_deg1_p2","t",50,50,1
"func_poly_deg1_p2","t",50,100,0.5
"func_poly_deg1_p2","t",50,150,1
"func_poly_deg1_p2","t",50,200,1
"func_poly_deg1_p2","t",100,20,0.5
"func_poly_deg1_p2","t",100,50,0
"func_poly_deg1_p2","t",100,100,1.5
"func_poly_deg1_p2","t",100,150,1
"func_poly_deg1_p2","t",100,200,0.5
"func_poly_deg1_p2","t",150,20,1
"func_poly_deg1_p2","t",150,50,2
"func_poly_deg1_p2","t",150,100,2.5
"func_poly_deg1_p2","t",150,150,0.5
"func_poly_deg1_p2","t",150,200,1
"func_poly_deg1_p2","t",200,20,0.5
"func_poly_deg1_p2","t",200,50,1.5
"func_poly_deg1_p2","t",200,100,3.5
"func_poly_deg1_p2","t",200,150,1
"func_poly_deg1_p2","t",200,200,1
"func_poly_deg2_p2","normal",25,20,94
"func_poly_deg2_p2","normal",25,50,92.5
"func_poly_deg2_p2","normal",25,100,90.5
"func_poly_deg2_p2","normal",25,150,94.5
"func_poly_deg2_p2","normal",25,200,93.5
"func_poly_deg2_p2","normal",50,20,92
"func_poly_deg2_p2","normal",50,50,93.5
"func_poly_deg2_p2","normal",50,100,88.5
"func_poly_deg2_p2","normal",50,150,91
"func_poly_deg2_p2","normal",50,200,93
"func_poly_deg2_p2","normal",100,20,90
"func_poly_deg2_p2","normal",100,50,90.5
"func_poly_deg2_p2","normal",100,100,91.5
"func_poly_deg2_p2","normal",100,150,89
"func_poly_deg2_p2","normal",100,200,91
"func_poly_deg2_p2","normal",150,20,93.5
"func_poly_deg2_p2","normal",150,50,94
"func_poly_deg2_p2","normal",150,100,93
"func_poly_deg2_p2","normal",150,150,94.5
"func_poly_deg2_p2","normal",150,200,91
"func_poly_deg2_p2","normal",200,20,90.5
"func_poly_deg2_p2","normal",200,50,93.5
"func_poly_deg2_p2","normal",200,100,93
"func_poly_deg2_p2","normal",200,150,93
"func_poly_deg2_p2","normal",200,200,92.5
"func_poly_deg2_p2","t",25,20,2.5
"func_poly_deg2_p2","t",25,50,5
"func_poly_deg2_p2","t",25,100,6
"func_poly_deg2_p2","t",25,150,3
"func_poly_deg2_p2","t",25,200,6
"func_poly_deg2_p2","t",50,20,0.5
"func_poly_deg2_p2","t",50,50,2.5
"func_poly_deg2_p2","t",50,100,2.5
"func_poly_deg2_p2","t",50,150,1
"func_poly_deg2_p2","t",50,200,1.5
"func_poly_deg2_p2","t",100,20,0.5
"func_poly_deg2_p2","t",100,50,2
"func_poly_deg2_p2","t",100,100,1.5
"func_poly_deg2_p2","t",100,150,1
"func_poly_deg2_p2","t",100,200,1.5
"func_poly_deg2_p2","t",150,20,3
"func_poly_deg2_p2","t",150,50,1
"func_poly_deg2_p2","t",150,100,1.5
"func_poly_deg2_p2","t",150,150,1
"func_poly_deg2_p2","t",150,200,1
"func_poly_deg2_p2","t",200,20,1
"func_poly_deg2_p2","t",200,50,3
"func_poly_deg2_p2","t",200,100,0.5
"func_poly_deg2_p2","t",200,150,1
"func_poly_deg2_p2","t",200,200,1
